key,cz
Cultiway.CoreFormation.Page.Elements,元素：{0}
Cultiway.CoreFormation.Page.Skill,代表法术：{0}
Cultiway.CoreFormation.Label.Jindan,金丹
Cultiway.CoreFormation.Label.Yuanying,元婴
Cultiway.CoreFormation.Page.Effects.Title,核心形成特殊效果
Cultiway.CoreFormation.Page.Effects.Empty,当前没有已显化的特殊效果。
Cultiway.CoreFormation.Effect.Source,{0} · {1}
Cultiway.CoreFormation.Effect.Potency,当前效果倍率：×{0:0.00}
Cultiway.CoreFormation.Effect.ProcChance,实际触发率：{0:P0}
Cultiway.CoreFormation.Effect.InternalCooldown,内置冷却：{0:0.#}秒
Cultiway.CoreFormation.Effect.Active,主动能力：{0}
Cultiway.CoreFormation.Effect.ActiveCost,固定消耗：{0:0.#}灵气
Cultiway.CoreFormation.Effect.ActiveDuration,持续时间：{0:0.#}秒
Cultiway.CoreFormation.Effect.ActiveRange,施法距离：{0:0.#}；作用半径：{1:0.#}
Cultiway.CoreFormation.Effect.ActiveCooldown,主动冷却：{0:0.#}秒
Cultiway.CoreFormation.Effect.ActiveCooldownRemaining,当前主动冷却：{0:0.#}秒
Cultiway.CoreFormation.Effect.ActiveRemaining,当前形态剩余：{0:0.#}秒
Cultiway.CoreFormation.Effect.ProcCooldownRemaining,当前内置冷却：{0:0.#}秒
Cultiway.CoreFormation.Effect.State.Ward,当前护盾：{0:0.#}
Cultiway.CoreFormation.Effect.State.Adaptation,当前元素适应：{0:P0}
Cultiway.CoreFormation.Effect.State.Charges,当前蓄势：{0}
Cultiway.CoreFormation.Effect.State.StoredHealing,待恢复生命：{0:0.#}
Cultiway.CoreFormation.Effect.State.Echoes,剩余稳定回响：{0}
Cultiway.CoreFormation.Effect.State.Reserve,当前灵渊储备：{0:0.#}灵气
Cultiway.CoreFormation.Effect.State.Dragon,当前龙威：{0}/5
Cultiway.CoreFormation.Effect.State.Phase,当前五相：{0}
Cultiway.CoreFormationEffect.iron.Name,金煞破锋
Cultiway.CoreFormationEffect.iron.Description,造成伤害时施加4秒破甲；目标已有同源破甲时追加本次伤害25%×倍率的金行反应伤害。
Cultiway.CoreFormationEffect.wood.Name,青木毒息
Cultiway.CoreFormationEffect.wood.Description,造成伤害时施加5秒木毒，总伤害为本次伤害35%×倍率；击杀自身木毒目标时恢复2.5%×倍率生命并回复6×倍率灵气。
Cultiway.CoreFormationEffect.water.Name,寒流叠封
Cultiway.CoreFormationEffect.water.Description,首次触发施加3秒减速；对已有同源减速的目标再次触发时改为冻结0.75秒。
Cultiway.CoreFormationEffect.fire.Name,焚烬爆燃
Cultiway.CoreFormationEffect.fire.Description,首次触发施加4秒灼烧，总伤害为本次伤害20%×倍率；再次触发会移除灼烧并在2.5格内引爆35%×倍率伤害。
Cultiway.CoreFormationEffect.earth.Name,厚土结界
Cultiway.CoreFormationEffect.earth.Description,造成伤害时积累本次伤害25%×倍率的护盾，最多为最大生命18%；护盾在最终伤害的护盾层逐点吸收伤害。
Cultiway.CoreFormationEffect.yin.Name,玄阴汲灵
Cultiway.CoreFormationEffect.yin.Description,命中时汲取目标8×倍率灵气；无灵气可取时改为施加4秒衰弱并追加25%×倍率阴行反应伤害。
Cultiway.CoreFormationEffect.yang.Name,纯阳涤秽
Cultiway.CoreFormationEffect.yang.Description,自行支付完成施法时净化1个负面状态，并恢复3%×倍率最大生命，单次不超过7.5%。
Cultiway.CoreFormationEffect.chaos.Name,混沌回响
Cultiway.CoreFormationEffect.chaos.Description,命中时随机选择一种元素，追加本次伤害30%×倍率的对应元素反应伤害。
Cultiway.CoreFormationEffect.balanced.Name,混元适应
Cultiway.CoreFormationEffect.balanced.Description,连续承受同一主元素伤害会逐步建立适应，每次提高5%×倍率，最高减免30%对应伤害；切换主元素后重新积累。
Cultiway.CoreFormationEffect.condensed.Name,凝元蓄势
Cultiway.CoreFormationEffect.condensed.Description,自行支付完成施法时获得1次蓄势；下次有效命中在2格内造成35%×倍率同元素反应伤害并恢复8×倍率灵气。
Cultiway.CoreFormationEffect.vital.Name,精元回生
Cultiway.CoreFormationEffect.vital.Description,储存实际承伤的35%×倍率，最多为最大生命30%；连续3秒未受伤后在5秒内逐步恢复这部分生命。
Cultiway.CoreFormationEffect.spiritual.Name,灵台回响
Cultiway.CoreFormationEffect.spiritual.Description,自行支付完成施法时有概率预付费回响其中一个施放步骤，不会重新执行整套施法序列。
Cultiway.CoreFormationEffect.sword.Name,剑气追击
Cultiway.CoreFormationEffect.sword.Description,造成伤害时追加本次伤害35%×倍率的金行剑气反应伤害。
Cultiway.CoreFormationEffect.body.Name,真形反震
Cultiway.CoreFormationEffect.body.Description,被武器贴身命中时反击攻击者，造成所受伤害40%×倍率的土行反应伤害并将其推开；远程武器不会触发。
Cultiway.CoreFormationEffect.illusion.Name,幻身替劫
Cultiway.CoreFormationEffect.illusion.Description,单次伤害超过最大生命8%时有概率完全闪避，并获得1.5秒隐匿。
Cultiway.CoreFormationEffect.reservoir.Name,灵渊储备
Cultiway.CoreFormationEffect.reservoir.Description,灵气高于90%时从脚下环境吸收灵气，最多储存80×倍率；灵气低于30%时按每秒16×倍率释放储备。
Cultiway.CoreFormationEffect.dragon.Name,龙威震荡
Cultiway.CoreFormationEffect.dragon.Description,造成或承受伤害时积累龙威；满5层后震慑并推开4格内敌人，随后进入8秒冷却。
Cultiway.CoreFormationEffect.infant.Name,灵婴护命
Cultiway.CoreFormationEffect.infant.Description,致命伤结算时保留最大生命10%的生命值，成功触发后进入60秒冷却。
Cultiway.CoreFormationEffect.sword_embryo.Name,剑胎显锋
Cultiway.CoreFormationEffect.sword_embryo.Description,继承剑气追击；主动显化期间改为每秒至多1次的稳定剑气追击，不再进行概率判定。
Cultiway.CoreFormationEffect.sword_embryo.Active.Name,剑胎显锋
Cultiway.CoreFormationEffect.dragon_aspect.Name,龙相震击
Cultiway.CoreFormationEffect.dragon_aspect.Description,继承龙威震荡；主动释放时对4格内敌人造成120%攻击×倍率的土行伤害，并眩晕和击退。
Cultiway.CoreFormationEffect.dragon_aspect.Active.Name,龙相震击
Cultiway.CoreFormationEffect.spirit_platform.Name,灵台显神
Cultiway.CoreFormationEffect.spirit_platform.Description,继承灵台回响；主动显化时获得4次无需概率判定的稳定单步回响。
Cultiway.CoreFormationEffect.spirit_platform.Active.Name,灵台显神
Cultiway.CoreFormationEffect.primal_body.Name,真身镇劫
Cultiway.CoreFormationEffect.primal_body.Description,继承真形反震；主动显化期间获得抗击退，并把每次最终伤害限制在最大生命15%以内。
Cultiway.CoreFormationEffect.primal_body.Active.Name,真身镇劫
Cultiway.CoreFormationEffect.five_phase.Name,五相轮转
Cultiway.CoreFormationEffect.five_phase.Description,主动显化后每2秒轮转一相；减免25%同相伤害，并每秒至多追加1次25%×倍率的当前相反应伤害。
Cultiway.CoreFormationEffect.five_phase.Active.Name,五相轮转
Cultiway.CoreFormationEffect.pure_yang.Name,纯阳净域
Cultiway.CoreFormationEffect.pure_yang.Description,继承纯阳涤秽；主动释放时净化并治疗5格内友军，同时对敌军施加4秒阳火灼烧。
Cultiway.CoreFormationEffect.pure_yang.Active.Name,纯阳净域
Cultiway.CoreFormationEffect.mysterious_yin.Name,玄阴寒域
Cultiway.CoreFormationEffect.mysterious_yin.Description,继承玄阴汲灵；主动释放时冻结并沉默5格内敌人，同时汲取每个目标12×倍率灵气。
Cultiway.CoreFormationEffect.mysterious_yin.Active.Name,玄阴寒域
Cultiway.CoreFormationEffect.chaos_rebirth.Name,混沌衍变
Cultiway.CoreFormationEffect.chaos_rebirth.Description,强化混沌回响，以更高触发率和更短冷却追加30%×倍率的随机元素反应伤害。
Cultiway.CoreFormationEffect.chaos_rebirth_survival.Name,归墟再生
Cultiway.CoreFormationEffect.chaos_rebirth_survival.Description,覆盖灵婴护命；致命伤结算时保留最大生命30%，净化全部负面状态并隐匿2秒，成功后进入120秒冷却。
